156 283
2 (45.435,-73.5166) 
22 (45.4417,-73.5922) 96 (45.4898,-73.5363) 
87 (45.4534,-73.6639) 57 (45.4731,-73.4977) 
22 (45.4317,-73.6561) 91 (45.456,-73.6389) 
32 (45.5608,-73.623) 60 (45.4721,-73.5207) 
66 (45.5154,-73.6333) 45 (45.496,-73.5826) 
92 (45.538,-73.5962) 6 (45.4873,-73.6427) 
23 (45.5758,-73.5286) 10 (45.5593,-73.5286) 
4 (45.5015,-73.5643) 92 (45.569,-73.5311) 
8 (45.4619,-73.5801) 82 (45.4731,-73.5199) 
97 (45.4304,-73.5416) 5 (45.483,-73.6292) 
50 (45.5121,-73.5569) 66 (45.4745,-73.5896) 
5 (45.4872,-73.6089) 22 (45.4386,-73.6332) 
88 (45.565,-73.5283) 86 (45.4865,-73.6519) 
44 (45.5664,-73.5741) 43 (45.5421,-73.5973) 
97 (45.5719,-73.5254) 65 (45.548,-73.5439) 
16 (45.5004,-73.4984) 77 (45.5209,-73.5864) 
46 (45.5597,-73.5205) 68 (45.5796,-73.5257) 
48 (45.4678,-73.558) 60 (45.5445,-73.5807) 
71 (45.5651,-73.5662) 29 (45.575,-73.5009) 
54 (45.4734,-73.5936) 98 (45.551,-73.5894) 
71 (45.4407,-73.6299) 24 (45.4569,-73.542) 
25 (45.4829,-73.5036) 83 (45.4567,-73.5912) 
71 (45.4959,-73.5698) 74 (45.554,-73.6642) 
7 (45.5224,-73.5199) 12 (45.4923,-73.6604) 
8 (45.5769,-73.642) 47 (45.4799,-73.5399) 
7 (45.5173,-73.6128) 4 (45.4471,-73.5453) 
87 (45.4622,-73.6606) 57 (45.5207,-73.5569) 
86 (45.5203,-73.628) 84 (45.4338,-73.4969) 
88 (45.4553,-73.5285) 22 (45.5401,-73.5842) 
26 (45.4572,-73.6376) 85 (45.43,-73.6495) 
4 (45.4468,-73.5212) 37 (45.4663,-73.5901) 
8 (45.5322,-73.5723) 14 (45.4339,-73.5288) 
30 (45.5186,-73.567) 22 (45.4686,-73.6031) 
22 (45.4943,-73.5074) 66 (45.554,-73.5677) 
10 (45.5543,-73.5635) 99 (45.4431,-73.619) 
27 (45.4736,-73.5264) 3 (45.4951,-73.587) 
93 (45.4837,-73.6184) 77 (45.4963,-73.5581) 
81 (45.4963,-73.5829) 17 (45.5756,-73.6092) 
19 (45.4814,-73.5227) 45 (45.468,-73.663) 
4 (45.574,-73.6458) 45 (45.5599,-73.528) 
74 (45.5609,-73.5822) 70 (45.5229,-73.5646) 
95 (45.4441,-73.6551) 54 (45.4725,-73.5319) 
60 (45.4757,-73.5031) 3 (45.5458,-73.5515) 
38 (45.5282,-73.4965) 99 (45.5438,-73.5207) 
81 (45.5294,-73.6636) 52 (45.5209,-73.5739) 
88 (45.4751,-73.6524) 48 (45.4938,-73.5475) 
25 (45.4495,-73.6056) 84 (45.5324,-73.6157) 
55 (45.4737,-73.6079) 61 (45.4904,-73.5429) 
98 (45.527,-73.5088) 
