184 453
28 (45.5575,-73.571) 
27 (45.5614,-73.5039) 54 (45.5324,-73.5982) 
21 (45.4302,-73.6463) 14 (45.4778,-73.6461) 
91 (45.5161,-73.5909) 53 (45.4569,-73.5385) 
28 (45.4846,-73.618) 3 (45.4558,-73.4963) 
97 (45.554,-73.5363) 70 (45.5172,-73.6463) 
1 (45.5523,-73.5188) 37 (45.5233,-73.6023) 
50 (45.4318,-73.649) 54 (45.5541,-73.6058) 
38 (45.5556,-73.574) 45 (45.4486,-73.5907) 
17 (45.442,-73.5054) 80 (45.4736,-73.5776) 
7 (45.4497,-73.6575) 42 (45.5036,-73.6097) 
33 (45.5412,-73.644) 4 (45.5105,-73.6654) 
19 (45.4658,-73.5858) 46 (45.5139,-73.5752) 
52 (45.5209,-73.6335) 42 (45.4937,-73.5537) 
68 (45.5106,-73.5312) 31 (45.4528,-73.6107) 
48 (45.4663,-73.6528) 62 (45.4906,-73.5409) 
70 (45.4735,-73.5863) 52 (45.5036,-73.5686) 
55 (45.5376,-73.5134) 26 (45.5584,-73.666) 
76 (45.5306,-73.5987) 62 (45.4731,-73.4977) 
65 (45.4572,-73.4979) 72 (45.5539,-73.5717) 
70 (45.5118,-73.5728) 1 (45.4542,-73.6307) 
36 (45.5634,-73.5995) 76 (45.4776,-73.5852) 
24 (45.5643,-73.6208) 24 (45.5415,-73.6384) 
95 (45.5322,-73.5853) 7 (45.4671,-73.5391) 
43 (45.5197,-73.648) 1 (45.4702,-73.6201) 
41 (45.5062,-73.5557) 10 (45.5049,-73.658) 
96 (45.5347,-73.5616) 76 (45.5575,-73.5703) 
88 (45.4298,-73.6559) 47 (45.548,-73.526) 
68 (45.5355,-73.6615) 82 (45.4688,-73.5993) 
94 (45.5069,-73.6017) 58 (45.5235,-73.5344) 
16 (45.5004,-73.56) 88 (45.4907,-73.6472) 
18 (45.5638,-73.6067) 25 (45.5063,-73.5982) 
4 (45.4433,-73.5908) 8 (45.5071,-73.5726) 
6 (45.5638,-73.5589) 60 (45.4601,-73.531) 
93 (45.5273,-73.5588) 
